venueId,venueCategory,latitude,longitude,numsOfCheckIn
4b1a32aff964a52017e823e3,Train/Subway Station,35.69070402,139.7784203,91
4ce0a254f8a4a1438510e6bc,Train/Subway Station,35.71166954,139.7756441,152
4b8adb31f964a520968532e3,Train/Subway Station,35.722671754,139.63884356,87
4c1f12b863750f4749a9ba67,Train/Subway Station,35.61928817,139.7288203,57
4b498d9df964a5202f7126e3,Train/Subway Station,35.68116739,139.7114396,228
50543f83e4b01f3aa51bacfa,Train/Subway Station,35.561734345,139.72452955,48
4e9e3bfd93ad5d11f3820514,Train/Subway Station,35.74599633,139.8563332,16
4ef89bea7716bd3522ba46dd,Train/Subway Station,35.57392013,139.6634763,61
4b4f2be8f964a52025fc26e3,Train/Subway Station,35.73792608,139.7610283,655
4e785942d1646aa04d3482d8,Train/Subway Station,35.62557149,139.7134142,1
4b597bacf964a520bd8928e3,Train/Subway Station,35.60391414,139.707701,11
4cc773888c5b236a37a3f96d,Train/Subway Station,35.77804938,139.7208488,6
4b602e22f964a520c1d829e3,Train/Subway Station,35.73770836,139.8960614,4
4b5f855af964a5204abf29e3,Train/Subway Station,35.68600612,139.8829293,130
4bd6c30d637ba593179af870,Train/Subway Station,35.78823,139.6131454,28
4b58f7d5f964a520ff7528e3,Train/Subway Station,35.68036781,139.7615969,38
4b584f78f964a5201c5228e3,Train/Subway Station,35.64318157,139.6092904,249
4b0587a6f964a5203e9e22e3,Train/Subway Station,35.68137872,139.7660816,5006
4b5364baf964a520969a27e3,Train/Subway Station,35.681709,139.6275374,67
4b85099af964a520774931e3,Train/Subway Station,35.70463063,139.6199816,26
4d1ff8bd0901721e61e38ea5,Train/Subway Station,35.6716123,139.7027254,2
4cbd6cfc4495721e1e6e5f7a,Train/Subway Station,35.69017142,139.6991658,62
4b5b0dc0f964a52012e128e3,Train/Subway Station,35.68217041,139.8021106,7
4b56bcbef964a520e21928e3,Train/Subway Station,35.57130736,139.6856174,208
4b46f717f964a520072a26e3,Train/Subway Station,35.64836523,139.7033905,327
4b506ecdf964a520202327e3,Train/Subway Station,35.73184291,139.7280639,245
4fe67888e4b010f80e7f727e,Train/Subway Station,35.67606137,139.7777659,1
4b39affff964a520805e25e3,Train/Subway Station,35.55347523,139.5785026,185
4e773b7145ddd4324083d433,Train/Subway Station,35.701502,139.524816,2
4b55a253f964a520e1e927e3,Train/Subway Station,35.81764786,139.6695864,217
4c92c8dd911b8cfaeb8ff0b5,Train/Subway Station,35.7060475,139.6659637,52
4c4008dacc410f471418a961,Train/Subway Station,35.63919693,139.7402358,101
4b727694f964a520917b2de3,Train/Subway Station,35.67702995,139.7370386,63
4c24cbbbf3859c745a076588,Train/Subway Station,35.7333104,139.79918,3
4c371c7bae2da5933f37fec5,Train/Subway Station,35.64523873,139.7479712,2
4bede385946c0f47d41da363,Train/Subway Station,35.69840987,139.7739083,102
50068d9ae4b042636d7fe03e,Train/Subway Station,35.69220352,139.7828369,24
4d4030a9adb6236ab1f28540,Train/Subway Station,35.730228133,139.710825833,4
4f082bcee4b0ad9c24e9775d,Train/Subway Station,35.62813043,139.7379371,6
4b95d823f964a52057b534e3,Train/Subway Station,35.60729518,139.6686745,155
4b5ccea3f964a520044529e3,Train/Subway Station,35.64573181,139.747569,1645
4e804d1c9a52c3af7b197bce,Train/Subway Station,35.6957,139.752045,18
4bbef995ba9776b09765fec8,Train/Subway Station,35.56292403,139.5698129,298
4fa7b7a2e4b01acec581b05b,Train/Subway Station,35.71174383,139.7981501,1
